year,province ,crop ,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),total farm gate value ($),,
1995,AB,corn ,350.1,4940,4.95,27203,4136,,
1996,AB,corn ,482.1,5025,4.86,27208,3209,,
1997,AB,corn ,491.3,4897.5,4.91,26726.5,3459.5,,
1998,AB,corn ,489.1,4770,4.95,26245,3710,,
1999,AB,corn ,423.8,4900,2.66,14560,2245,,
2000,AB,corn ,396.5,4950,4.05,22318,2205,,
2001,AB,corn ,352.1,5290,4.10,23945,2970,,
2002,AB,corn ,235.2,4450,4.19,20690,2400,,
2003,AB,corn ,473.4,5550,3.11,19050,4300,,
2004,AB,corn ,525.5,4300,3.78,18000,3100,,
2005,AB,corn ,287.2,3465,3.51,13500,3440,,
2006,AB,corn ,442.5,4000,3.65,16250,3000,,
2007,AB,corn ,272,4000,3.60,16050,2975,,
2008,AB,corn ,292.7,4000,3.60,16000,3400,,
2009,AB,corn ,243.5,3800,4.01,17000,3200,,
2010,AB,corn ,383,3282,4.05,14815,2857,,
2011,AB,corn ,391.4,4007,3.15,14029,3343,,
2012,AB,corn ,369.5,3017,4.19,14102,3081,,
2013,AB,corn ,483.5,3367,3.87,14407,4036,,
2014,AB,corn ,360,3062,4.86,16578,4095,,
2015,AB,corn ,289.3,2760,5.09,15558,3932,,
2016,AB,corn ,489.5,2457,6.08,16548,3748,,
2017,AB,corn ,376.3,2065,7.07,16259,3652,,
2018,AB,corn ,368.6,2126,,14554,4205,,
2019,AB,corn ,463,2000,,14224,4317,,
2020,AB,corn ,498.7,2505,,14794,4534,,
2021,AB,corn ,270.6,2588,,12919,4126,,
2022,AB,corn ,397,3200,4.05,14500,4400,,
1995,BC,corn ,1272.8,2875,4.64,14787,3946,,
1996,BC,corn ,1462.8,3285,3.74,13562,4777,,
1997,BC,corn ,1521.8,2375,4.82,12750,5460,,
1998,BC,corn ,1160.5,2760,4.55,13908,5430,,
1999,BC,corn ,1394.4,2740,4.10,12505,5915,,
2000,BC,corn ,1010.8,2730,3.42,10410,4460,,
2001,BC,corn ,1178.5,3100,4.41,15213,5265,,
2002,BC,corn ,857.6,2750,4.32,13250,4300,,
2003,BC,corn ,1106.1,2800,3.20,10000,4250,,
2004,BC,corn ,1210.6,2660,3.69,10950,4750,,
2005,BC,corn ,1215.2,2502,4.23,11767,5926,,
2006,BC,corn ,1224.2,3315,3.20,11810,6700,,
2007,BC,corn ,1322.4,3150,3.375,11750,6650,,
2008,BC,corn ,1025.8,3030,3.51,11850,6150,,
2009,BC,corn ,1090.6,2120,3.06,7242,5711,,
2010,BC,corn ,1207,2285,2.25,5734,5522,,
2011,BC,corn ,1068.5,2913,2.565,8280,7150,,
2012,BC,corn ,1211.3,3001,2.655,8781,7780,,
2013,BC,corn ,944,2983,2.88,9589,7620,,
2014,BC,corn ,1276.3,2867,3.105,9870,9617,,
