year,province,crop,precipitation(mm),harvested area (acres),yield (tonnes/acres),production (tonnes),farm gate value ($)
1995,AB,corn ,350.1,4940,5.51,27203,4115548
1996,AB,corn ,482.1,5025,5.41,27208,4196498
1997,AB,corn ,491.3,4897.5,5.46,26726.5,4201007
1998,AB,corn ,489.1,4770,5.5,26245,4202678
1999,AB,corn ,423.8,4900,2.97,14560,2374444
2000,AB,corn ,396.5,4950,4.51,22318,3705400
2001,AB,corn ,352.1,5290,4.53,23945,4046103
2002,AB,corn ,235.2,4450,4.65,20690,3557072
2003,AB,corn ,473.4,5550,3.43,19050,3222099
2004,AB,corn ,525.5,4300,4.19,18000,3097557
2005,AB,corn ,287.2,3465,3.9,13500,2362958
2006,AB,corn ,442.5,4000,4.06,16250,2892197
2007,AB,corn ,272,4000,4.01,16050,2903907
2008,AB,corn ,292.7,4000,4,16000,2942020
2009,AB,corn ,243.5,3800,4.47,17000,3176003
2010,AB,corn ,383,3282,4.51,14815,2811459
2011,AB,corn ,391.4,4007,3.5,14029,2647101
2012,AB,corn ,369.5,3017,4.67,14102,3116340
2013,AB,corn ,483.5,3367,4.28,14407,3163414
2014,AB,corn ,360,3062,5.41,16578,3015343
2015,AB,corn ,289.3,2760,5.64,15558,3081063
2016,AB,corn ,489.5,2457,6.74,16548,3755326
2017,AB,corn ,376.3,2065,7.87,16259,3454814
2018,AB,corn ,368.6,2126,6.85,14554,3438888
2019,AB,corn ,463,2000,7.11,14224,3626885
2020,AB,corn ,498.7,2505,5.91,14794,3985985
2021,AB,corn ,270.6,2588,4.99,12919,3689428
2022,AB,corn ,397,3200,4.53,14500,4262652
1995,BC,corn ,1272.8,2875,5.14,14787,2237128
1996,BC,corn ,1462.8,3285,4.13,13562,2091771
1997,BC,corn ,1521.8,2375,5.37,12750,2004110
1998,BC,corn ,1160.5,2760,5.04,13908,2227123
1999,BC,corn ,1394.4,2740,4.56,12505,2039315
2000,BC,corn ,1010.8,2730,3.81,10410,1728345
2001,BC,corn ,1178.5,3100,4.91,15213,2570614
2002,BC,corn ,857.6,2750,4.82,13250,2277970
2003,BC,corn ,1106.1,2800,3.57,10000,1691391
2004,BC,corn ,1210.6,2660,4.12,10950,1884347
2005,BC,corn ,1215.2,2502,4.7,11767,2059624
2006,BC,corn ,1224.2,3315,3.56,11810,2101960
2007,BC,corn ,1322.4,3150,3.73,11750,2125914
2008,BC,corn ,1025.8,3030,3.91,11850,2178934
2009,BC,corn ,1090.6,2120,3.42,7242,1352977
2010,BC,corn ,1207,2285,2.51,5734,1088148
2011,BC,corn ,1068.5,2913,2.84,8280,1562335
2012,BC,corn ,1211.3,3001,2.93,8781,1940475
2013,BC,corn ,944,2983,3.21,9589,2105503
2014,BC,corn ,1276.3,2867,3.44,9870,1795237
2015,BC,corn ,1142.5,2426,3.38,8194,1622717
2016,BC,corn ,1356.8,2634,3.69,9717,2205130
